Vin ,N10:d Vr 0.8  (A),N10:d Vr 1  (A),N10:d Vr 1.2  (A),N10:d Vr 1.4  (A),N10:d Vr 1.6  (A),N10:d Vr 1.8  (A)
2.090,3.856E-12,3.856E-12,3.856E-12,3.861E-12,4.903E-12,264.1E-12
2.100,3.849E-12,3.849E-12,3.849E-12,3.852E-12,4.639E-12,204.8E-12
2.110,3.841E-12,3.841E-12,3.841E-12,3.844E-12,4.443E-12,159.2E-12
2.120,3.834E-12,3.834E-12,3.834E-12,3.836E-12,4.294E-12,124.2E-12
2.130,3.827E-12,3.827E-12,3.827E-12,3.828E-12,4.181E-12,97.50E-12
2.140,3.820E-12,3.820E-12,3.820E-12,3.821E-12,4.094E-12,77.13E-12
2.150,3.813E-12,3.813E-12,3.813E-12,3.814E-12,4.028E-12,61.69E-12
2.160,3.807E-12,3.807E-12,3.807E-12,3.808E-12,3.977E-12,50.03E-12
2.170,3.802E-12,3.802E-12,3.802E-12,3.802E-12,3.939E-12,41.29E-12
2.180,3.797E-12,3.797E-12,3.797E-12,3.797E-12,3.909E-12,34.74E-12
2.190,3.792E-12,3.792E-12,3.792E-12,3.793E-12,3.886E-12,29.85E-12
2.200,3.788E-12,3.788E-12,3.788E-12,3.789E-12,3.869E-12,26.17E-12
